Unnamed: 0,Name,Title,Rating,Content,matched_keywords,sentiment
173,Satish kolukuluri,Brilliant,5.0,"Been waiting to buy a macbook since M1 lunch, but finally bought Air M2 because of BBD in Flipkart. I got it at an unbelievable price. But I was a little disappointed with the delivery as it got delivered after 4 days after it came out for delivery. I think I don't need to talk anything about Macbook Air M2 performance, it's literally awesome and no window laptop can beat it's battery.READ MORE",['performance'],Positive
174,Yash Ojha,Worth every penny,5.0,Totally Satisfied with this powerful machine. ✨READ MORE,['hinge'],Positive
175,Ashok Gupta,Worth every penny,5.0,Just one wordAwesome 😊READ MORE,[],Positive
176,khushal singh saini,Terrific,5.0,Great laptop value for money.READ MORE,[],Positive
177,Abhishek Nair,Perfect product!,5.0,Apple Macbook Air M2 is my first laptop and I don't even need to elaborate on the quality and user friendliness of Apple devices. They always set the bar high when it comes to attention to detail like multiple device integration in the Apple ecosystem. No other company till now has been able to accomplish this feat so efficiently. Everything is so seamless that we are in awe of Apple products. No doubt these are premium and costly devices but we get our money's worth over a long duration of t...READ MORE,"['app', 'quality']",Positive
178,Shivam  Sherkar,Excellent,5.0,NiceREAD MORE,[],Positive
179,jibin sunny,Terrific,5.0,I bought the product during BBD 2023 at a good offer price. I am a first time mac user and got fascinated with the design and build quality of the Macbook. I feel like and excellent purchase.READ MORE,"['quality', 'build']",Positive
180,krishna thoodi,Wonderful,5.0,"Good product ,battery backup also goodREAD MORE","['battery', 'water']",Positive
181,Nitin Kumar Mimrot,Terrific purchase,5.0,"Overall a product that never disappoints. The only thing that u don't like in this black colour is a fingerprint magnet every time you touch it, it gets full of fingerprints.READ MORE","['hinge', 'fingerprint', 'touch', 'color']",Positive
182,Santosh  Rai,Awesome,5.0,GoodREAD MORE,[],Positive
183,Azam,Simply awesome,5.0,Better than windowsREAD MORE,[],Positive
184,Sumant Kushwaha,Just wow!,5.0,"First time experience, It's an amazing device.I'll update my review after 1/2 Months.READ MORE",['water'],Positive
185,VISHNU MALLAH,Simply awesome,5.0,Mechanical design - FinesseREAD MORE,['mechanical'],Positive
186,Singh Vaccine Hub,Excellent,5.0,BeastREAD MORE,[],Positive
187,Malik Najeeb Ul Habib,Great laptop under 70k,5.0,Great Laptop for a price around 65k. Can buy without hesitation.Pros:DisplayBatterySizepretty much everythingCons:The base variant has only 256gb storage which will fill in no time.So better opt for an iCloud subscription or buy an external HDD or SSDREAD MORE,"['static', 'battery', 'size', 'display', 'water', 'hinge', 'storage']",Positive
188,hitendra sherasia,Great product,5.0,Very nice produREAD MORE,[],Positive
189,Israna,Mind-blowing purchase,5.0,What can I say now ...Ankh band kro and go for it yr ..READ MORE,[],Positive
190,Shaikh Manzer,Terrific purchase,5.0,Absolute beast 🤩💪READ MORE,[],Positive
191,Siddhant Srivastava,Brilliant,5.0,Too goodREAD MORE,[],Positive
192,Akash,Brilliant,5.0,Best Deal 👌READ MORE,[],Positive
193,Suvajit  Sarkar,Super!,5.0,Very nice and smooth.READ MORE,[],Positive
194,Harpreet  Singh,Brilliant,5.0,Very good productREAD MORE,[],Positive
195,Flipkart Customer,Simply awesome,5.0,good performance 15 hr battery backupREAD MORE,"['performance', 'battery', 'water']",Positive
196,Deepam Suneja,Terrific purchase,5.0,ExcellentREAD MORE,[],Positive
197,Deepak Negi,Super!,5.0,Display is superb as well as battery is insane .READ MORE,"['display', 'battery', 'water']",Positive
198,Harsh Dua,Excellent,5.0,Every penny spent on this machine is worth it✅️READ MORE,['hinge'],Positive
199,Kapil Mone,Classy product,5.0,bestREAD MORE,[],Positive
